filename,width,height,aspect_ratio
"./poe/before/roderick.webp",768,512,1.50
"./poe/before/ulelume.webp",768,512,1.50
"./poe/before/ligeia.webp",768,512,1.50
"./poe/before/dupin.webp",768,512,1.50
"./poe/before/prospero.webp",768,511,1.50
"./poe/after/roderick.webp",768,432,1.78
"./poe/after/ulelume.webp",768,512,1.50
"./poe/after/ligeia.webp",768,512,1.50
"./poe/after/dupin.webp",768,512,1.50
"./poe/after/prospero.webp",768,511,1.50
"./dickens/before/dotheboys.webp",768,512,1.50
"./dickens/before/havisham.webp",768,512,1.50
"./dickens/before/gradgrind.webp",768,513,1.50
"./dickens/before/chasney-wold.webp",768,512,1.50
"./dickens/before/tattycoram.webp",768,512,1.50
"./dickens/after/dotheboys.webp",768,512,1.50
"./dickens/after/havisham.webp",768,512,1.50
"./dickens/after/gradgrind.webp",768,513,1.50
"./dickens/after/chasney-wold.webp",768,512,1.50
"./dickens/after/tattycoram.webp",768,512,1.50
"./austen/before/highbury.webp",1000,667,1.50
"./austen/before/longbourn.webp",1000,656,1.52
"./austen/before/fanny.webp",1000,667,1.50
"./austen/before/tilney.webp",1000,667,1.50
"./austen/before/dashwood.webp",1000,666,1.50
"./austen/after/highbury.webp",1000,667,1.50
"./austen/after/longbourn.webp",1400,467,3.00
"./austen/after/fanny.webp",1000,667,1.50
"./austen/after/tilney.webp",1000,667,1.50
"./austen/after/dashwood.webp",1000,443,2.26
"./fitzgerald/before/morningside-heights.webp",768,512,1.50
"./fitzgerald/before/rosalind.webp",768,512,1.50
"./fitzgerald/before/valley-of-ashes.webp",768,517,1.49
"./fitzgerald/before/gloria.webp",768,512,1.50
"./fitzgerald/before/west-egg.webp",768,512,1.50
"./fitzgerald/after/morningside-heights.webp",768,524,1.47
"./fitzgerald/after/rosalind.webp",768,512,1.50
"./fitzgerald/after/valley-of-ashes.webp",768,512,1.50
"./fitzgerald/after/gloria.webp",768,512,1.50
"./fitzgerald/after/west-egg.webp",768,508,1.51
